species_full,habitat,source,lat,long
Acanthochromis polyacanthus,m,w,-18.744538,146.571887
Acanthodactylus boskianus,t,w,21.543333,39.172778
Acheta domesticus,t,c,29.9,31.05
Acipenser brevirostrum,f,c,46.5653,66.4619
Acris crepitans,f,w,42.0781111,-96.926944
Acrochordus arafurae,f,c,NA,NA
Actinia equina,m,w,43.386302,-3.008442
Aequipecten opercularis,m,c,56.75,5.9
Alligator mississippiensis,f,c,33.35,151.2
Alligator mississippiensis,f,w,29.76951236,-92.97454617
Alligator mississippiensis,f,w,29.85536619,-92.74871979
Ambystoma tigrinum,t,w,34,-112
Amphiura filiformis,m,w,58.24724827,11.31443365
Anolis gundlachi,t,w,18.316667,-65.783333
Arenicola marina,m,w,53.74168489,8.505000353
Argopecten purpuratus,m,w,-30.28779945,-71.54439337
Argyrosomus regius,m,c,37.4987,27.416
Asterias rubens,m,w,58.24724827,11.31443365
Barbonymus schwanenfeldii,f,c,NA,NA
Barbus barbus,f,c,NA,NA
Bithynia tentaculata,f,w,52.35,9.7
Blennius pholis,m,w,53.523191,-5.099328
Bolitoglossa subpalmata,t,w,9.566667,-83.75
Boreogadus saida,m,w,69.07859987,-104.9682869
Bovallia gigantea,m,w,-62.08333333,-58.36666667
Brachymystax lenok,f,w,33.73920979,107.4560732
Bufo woodhousii,f,w,33.216389,-97.129167
Bufo woodhousii,f,w,33.005554,-115.469902
Caenorhabditis elegans,f,c,NA,NA
Carassius auratus,f,c,NA,NA
Carassius auratus,f,c,34.69,135.5
Carassius auratus,f,c,49.154938,-123.092218
Carassius carassius,f,w,62.58798978,29.66828919
Caretta caretta,m,w,NA,11.75015731
Catla catla,f,c,19.55,72.83
Cellana tramoserica,m,w,-33.54377651,151.3099564
Channa argus,f,c,23.062051,113.466369
Chanos chanos,m,c,24.199993,120.690919
Chelodina longicollis,f,w,-33.99624637,150.7055575
Cherax destructor,f,c,32.9,151.75
Cherax quadricarinatus,f,c,-26.8083,-65.2176
Chiloscyllium plagiosum,m,c,10,110
Chromis atripectoralis,m,w,-14.65,145.45
Chromis ternatensis,m,w,-14.65,145.45
Chrysemys picta,f,w,42.42994,-83.989883
Cirrhinus mrigala,f,c,19.55,72.83
Clinostomus elongatus,f,w,42.043698,-78.739853
Cordylus jonesii,t,c,NA,NA
Cordylus oelofseni,t,w,-34.0333,19
Crassostrea corteziensis,m,w,23.21512099,-106.4546019
Crassostrea gigas,m,w,-32.66392626,152.2421131
Crassostrea virginica,m,c,47.7837405,-64.71612062
Crepidula fornicata,m,w,56.942778,9.075
Crocodylus porosus,f,c,12.45,130.86
Crocodylus porosus,f,c,12.45,130.85
Ctenopharyngodon idellus,f,c,36.4,118.4
Cynops orientalis,t,w,30.06284701,119.9591598
Cyprinodon salinus,f,w,36.241944,-116.8258
Cyprinus carpio,f,c,53.6,-0.5
Cyprinus carpio,f,c,NA,NA
Cyprinus carpio,f,c,29.5689,106.2536
Cyprinus carpio,f,c,51.95,5.65
Cyprinus carpio,f,c,56.34,2.8
Cyprinus carpio,f,c,54.325,10.142556
Danio rerio,f,c,27.5,153
Danio rerio,f,c,43.2,80
Danio rerio,f,c,24.75,90.4
Danio rerio,f,c,24.867,152.351
Daphnia ambigua,f,c,NA,NA
Daphnia magna,f,c,NA,NA
Dascyllus aruanus,m,w,-14.65,145.45
Dascyllus reticulatus,m,w,-14.65,145.45
Desmognathus fuscus,t,w,41.30171148,-81.16385638
Desmognathus ochrophaeus,t,w,41.30171148,-81.16385638
Dicentrarchus labrax,m,c,46.2,1.6
Dicentrarchus labrax,m,c,39.65,20.9
Discoglossus pictus,f,w,40.41842992,-3.732385241
Dreissena polymorpha,f,w,42.854909,-78.917256
Dreissena polymorpha,f,w,41.8,-83.4
Dreissena polymorpha,f,w,42.2,-81.2
Eisenia fetida,t,w,39.28333,-76.616667
Elusor macrurus,f,w,-25.720609,152.576459
Engraulis japonicus,m,w,32.92589587,129.6479782
Enithares ciliata,f,w,-27.44421111,153.0708145
Euastacus sulcatus,f,w,-28.221317,153.240501
Euchemotrema leai,t,w,39.55333,-95.520833
Eurycea guttolineata,f,w,33.25,-86.65
Eurycea multiplicata,f,w,36.07638,-94.16
Eurycea multiplicata,f,w,36.10314405,-94.33398738
Eurycea neotenes,f,w,30.05012148,-99.13500643
Fejervarya cancrivora,f,w,9.316667,123.3
Forsterygion lapillum,m,w,-36.304872,174.798101
Fundulus grandis,m,w,30.17320646,-84.238792
Fundulus heteroclitus,m,w,34.688537,-76.733854
Fundulus heteroclitus,m,w,31.12767756,-81.42751526
Fundulus heteroclitus,m,w,34.70836716,-76.86383741
Fundulus heteroclitus,m,c,NA,NA
Fundulus heteroclitus,m,w,40.04075568,-74.04665346
Fundulus heteroclitus,m,w,43.99650971,-69.66182345
Fundulus heteroclitus,m,w,31.47314247,-81.2263517
Fundulus heteroclitus,m,w,44.7072,-61.9016
Fundulus heteroclitus,m,w,46.1833,-62
Fundulus heteroclitus,m,w,31.03477088,-81.40416872
Fundulus heteroclitus macrolepidotus,m,w,42.896577,-70.78684
Fundulus heteroclitus macrolepidotus,m,w,42.897422,-70.828505
Fundulus heteroclitus macrolepidotus,m,w,42.90443541,-70.82167253
Gadus macrocephalus,m,w,57.75,-152.25
Gadus macrocephalus,m,c,62.5,7.15
Gadus morhua,m,w,66.39663979,-15.48258013
Gadus morhua,m,w,63.80504639,-21.98541076
Gadus morhua,m,w,54.15,7.9
Gadus morhua,m,w,69.649419,18.968234
Gadus morhua,m,w,60.4,5.3
Gadus morhua,m,w,54.19255459,7.895766453
Gadus morhua,m,c,60.3913,5.3221
Galaxias platei,f,w,-54.55813838,-66.74780539
Gambusia holbrooki,f,w,43.58606607,4.17471883
Gambusia holbrooki,f,w,-33.34885282,151.1955368
Gambusia holbrooki,f,w,43.61062143,3.896994474
Gambusia holbrooki,f,w,-33.79574991,151.1573881
Gambusia holbrooki,f,w,-27.49181541,153.431997
Gambusia holbrooki,f,w,-34.09492135,151.1180263
Gasterosteus aculeatus,f,w,48.00877555,-69.34841213
Gasterosteus aculeatus,f,w,61.83908798,-150.0774214
Gasterosteus aculeatus,f,w,61.83513427,-150.0783096
Geochelone carbonaria,t,c,5.14,-60.76
Gillichthys mirabilis,m,w,34.40896,-119.840638
Glossina morsitans,t,c,0,20
Gondogeneia antarctica,m,w,-62.08333333,-58.36666667
Haliotis midae,m,c,34.6,19.35
Halozetes belgicae,t,w,-46.9,37.75
Halozetes fulvus,t,w,-46.9,37.75
Halozetes marinus,t,w,-46.9,37.75
Heliocidaris erythrogramma,m,w,-33.96664659,151.2558043
Helix aspersa,t,w,35.2401,24.8093
Helix lucorum,t,w,40.8,22.05
Hemigrapsus crenulatus,m,w,-41.6167,-73.5833
Heterometrus fulvipes,t,w,13.660373,79.422333
Hoplodactylus maculatus,t,w,-43.216667,171.75
Hoplodactylus maculatus,t,w,-43.74955208,173.0007609
Horabagrus brachysoma,f,c,18.95,72.8
Hylarana erythraea,f,w,9.316667,123.3
Hyperolius marmoratus,t,w,-33.992,18.82
Idotea balthica,m,c,54.15,7.9
Idotea emarginata,m,c,54.15,7.9
Labeo rohita,f,c,19.55,72.83
Labeo rohita,f,c,18.8,73.6
Lates calcarifer,m,c,20.0015,148.2262
Lepomis cyanellus,f,c,40.45,81.7
Lepomis macrochirus,f,w,30.611828,-95.533111
Lepomis macrochirus,f,w,41.14327816,-81.65347615
Lepomis megalotis,f,w,30.611828,-95.533111
Ligia oceanica,m,w,53.23053303,-4.529183885
Limax maximus,t,NA,NA,NA
Limecola balthica,m,w,63.2,20.25
Limecola balthica,m,w,58.87932925,17.62924035
Limecola balthica,m,w,55.2,18.95
Limecola balthica,m,w,54.35281681,11.39997435
Limecola balthica,m,w,51.520711,3.172656
Limecola balthica,m,w,46.201241,-1.933007
Limnodynastes peronii,f,w,-33.79587961,151.1573421
Limnodynastes peronii,f,w,-34.08581179,151.165068
Limnodynastes peronii,f,w,-33.79933892,151.149832
Limnonectes magnus,f,w,9.3167,123.3
Lithobates clamitans,f,w,35.210507,-85.930942
Litopenaeus stylirostris,m,c,27.5,109.9
Litopenaeus vannamei,m,c,24.15,110.3
Littorina obtusata,m,w,41.52071478,-70.67828952
Littorina saxatilis,m,w,41.52071478,-70.67828952
Littorina saxatilis,m,w,66.35,33.65
Littorina saxatilis,m,w,54.15,7.9
Mabuya brevicollis,t,w,19.161673,45.879207
Macquaria novemaculeata,f,c,29.45,153.35
Macrobiotus harmsworthi,t,w,33.95,107.6
Macrobrachium rosenbergii,m,c,18.95,72.8
Malacochersus tornieri,t,w,-1.266667,36.8
Marenzelleria viridis,m,w,39.05,-76.2
Mauremys reevesii,t,w,30.31666667,120.4166667
Melanotaenia duboulayi,f,w,-27.44421111,153.0708145
Merlanguis merlangus,m,w,54.19255459,7.895766453
Messor capensis,t,w,-33.4686016,19.03597487
Micropterus dolomieui,f,w,46.67059664,-66.13528153
Micropterus salmoides,f,c,29.6,110.85
Micropterus salmoides,f,c,NA,NA
Micropterus salmoides,f,c,40.45,81.7
Mizuhopecten yessoensis,m,c,38.870435,121.534399
Modiolus modiolus,m,w,42.95,-70.6
Morone americana,m,w,46.67059664,-66.13528153
Morone saxatilis,m,w,41.19861319,-73.9154651
Mya arenaria,m,w,44.398253,-68.555902
Myoxocephalus scorpius,m,w,56.340733,-2.772717
Myoxocephalus scorpius,m,w,56.04201793,-3.262017593
Myoxocephalus scorpius,m,w,58.24832641,11.33393582
Myoxocephalus scorpius,m,w,69.24843367,-53.51252081
Mytilus coruscus,m,w,30.55027778,121.8333333
Mytilus edulis,m,w,58.87932925,17.62924035
Mytilus edulis,m,w,55.2,18.95
Mytilus edulis,m,w,54.35281681,11.39997435
Mytilus edulis,m,w,51.77075883,3.909322594
Mytilus edulis,m,w,51.520711,3.172656
Mytilus edulis,m,w,46.201241,-1.933007
Mytilus edulis,m,w,43.65567,-1.979297
Mytilus edulis,m,w,43.1,5.35
Mytilus edulis,m,w,39.209582,8.326965
Mytilus edulis,m,w,39.09139839,8.462968798
Mytilus edulis,m,c,47.89429781,-64.51773303
Nacella concinna,m,w,-67.55,-68.01
Neopomacentrus azysron,m,w,-14.65,145.45
Neopomacentrus bankieri,m,w,-14.65,145.45
Neopomacentrus cyanomos,m,w,-14.65,145.45
Notophthalmus viridescens,f,c,36.2,86.75
Notophthalmus viridescens,f,w,27.67995511,-81.52115369
Notophthalmus viridescens,f,w,45.2538,-69.4455
Occidozyga laevis,t,w,9.356485906,123.1820852
Oncorhynchus clarki,f,c,49.05,122.3
Oncorhynchus mykiss,f,c,62.75,29.8
Oncorhynchus mykiss,f,c,62.6,29.75
Oncorhynchus mykiss,f,c,46.56,70.58
Oncorhynchus mykiss,f,w,50.7,-86.05
Oncorhynchus mykiss,f,c,49.3,122.95
Oncorhynchus mykiss,f,c,NA,NA
Oncorhynchus mykiss,f,c,43.15,80.95
Oncorhynchus tshawytscha,f,c,38.224766,-121.024463
Ophiothrix fragilis,m,w,58.24724827,11.31443365
Orconectes nais,f,w,38.971266,-95.218795
Orconectes virilis,f,c,44.5,-89.5
Oreochromis mossambicus,f,w,-27.99976789,152.9996674
Oreochromis niloticus,f,c,-1.28333,36.816667
Osmerus mordax,f,c,44.765556,-69.556944
Ostorhinchus doederleini,m,w,-14.65,145.45
Ostrea edulis,m,c,NA,NA
Ostrea edulis,m,c,-34.035556,23.048889
Pagothenia borchgrevinki,m,w,-77.85,-166.65
Pagothenia borchgrevinki,m,w,-77.85,166.75
Pagothenia borchgrevinki,m,w,-77.88333333,166.6666667
Panulirus argus,m,w,21.232652,-86.735409
Parabramis pekinensis,f,c,29.9969,106.2617
Paratya australiensis,f,w,-27.44421111,153.0708145
Penaeus chinensis,m,w,36.11109525,120.2324585
Perca flavescens,f,w,42.66538432,-82.71459063
Perca flavescens,f,w,46.67059664,-66.13528153
Perca fluviatilis,f,w,60.447637,22.266433
Perca fluviatilis,f,w,60.41818,18.184931
Perca fluviatilis,f,w,60.46627957,22.26398983
Petromyzon marinus,m,w,43.7,-77.9
Philomycus carolinianus,t,NA,NA,NA
Pimephales promelas,f,c,41,-77.5
Pinctada margaritifera,m,c,17.7233,149.3081
Pinctada mazatlantica,m,c,24.15,110.3
Plethodon dorsalis,t,w,36.076389,-94.16
Pleurodema thaul,t,w,-27.087533,-69.938788
Podacarus auberti,t,w,-46.9,37.75
Poecilia reticulata,f,c,10.75,61.85
Polypedates megacephalus,t,w,24.1,120.55
Pomacentrus coelestis,m,w,-14.65,145.45
Pomacentrus lepidogenys,m,w,-14.65,145.45
Pomacentrus moluccensis,m,w,-14.65,145.45
Pomoxis annularis,f,w,40.99562737,-81.52759457
Pomoxis nigromaculatus,f,c,40.45,81.7
Porcellio scaber,t,w,39.47,-87.39
Pringleophaga marioni,t,w,-46.9,37.75
Pringleophaga marioni,t,w,-46.889091,37.75276
Procambarus clarkii,f,c,30.46,91.14
Procambarus zonangulus,f,c,30.46,91.14
Prochilodus scrofa,f,w,-21.89584,-47.402312
Pseudacris triseriata,f,w,42.0781111,-96.926944
Pseudopleuronectes americanus,m,w,47.75,-53
Ptychocheilus oregonensis,f,w,45.644167,-121.94056
Ptyodactylus hasselquistii,t,w,21.55,39.15
Pungitius pungitius,m,w,59.59768949,26.50169706
Pungitius pungitius,m,w,59.49743073,26.53804635
Pyganodon cataracta,f,w,36.08118335,-80.19387314
Rana catesbeiana,f,w,30.27024236,-92.27364337
Rana latouchii,f,w,22.509897,120.858467
Rana perezi,f,w,42.5,-8.1
Rana pipiens,f,w,44.02070305,-88.56074522
Rana tigrina,f,c,NA,NA
Rhinella marina,t,w,9.316667,123.3
Rhinella marina,t,w,-17.095495,139.476083
Rhinella marina,t,w,-28.806642,153.558981
Rhinella marina,t,w,-27.58975441,153.2343002
Rhinella marina,t,w,-28.3953,153.0701
Rutilus rutilus,f,w,62.47,29.77
Rutilus rutilus,f,c,48.2,16.35
Saccostrea glomerata,m,w,-32.66392626,152.2421131
Salmo trutta,f,c,53.33,1.66
Salvelinus fontinalis,f,w,49.82251434,-88.55943727
Salvelinus fontinalis,f,w,47.739689,-80.03982
Salvelinus namaycush,f,w,45.46426103,-78.50444476
Salvelinus namaycush,f,w,45.72911834,-78.40392815
Salvelinus namaycush,f,w,45.75,-81.95
Salvelinus namaycush,f,w,48.43936307,-90.72826451
Scartichthys viridis,m,w,-33.45,-71.7
Scartichthys viridis,m,w,-28.05,-71.15
Scartichthys viridis,m,w,-23.35,-70.65
Scomber japonicus,m,w,33.861915,-118.746897
Sillaginodes punctatus,m,w,-31.64992195,152.8447225
Silurus meridionalis,f,c,29.4316,106.426409
Silurus meridionalis,f,c,29.55,106.55
Sitophilus granarius,t,c,NA,NA
Sitophilus oryzae,t,c,NA,NA
Solea senegalensis,m,w,36.52061,-6.299451
Solea vulgaris,m,w,46.21320199,-1.224298098
Sparus aurata,m,c,40.9,48.2
Sphoeroides annulatus,m,c,27.5,109.9
Spinibarbus sinensis,f,c,29.5689,106.2536
Sterechinus neumayeri,m,w,-67.56590839,-68.12086546
Sterechinus neumayeri,m,w,-67.55,-68.1
Strongylocentrotus droebachiensis,m,w,47.516667,-52.98333
Strongylocentrotus purpuratus,m,w,44.59833276,-124.1127415
Taricha granulosa,t,c,45.5,-122.9
Tenebrio molitor,t,c,NA,NA
Tenebrio obscurus,t,c,NA,NA
Tor putitora,f,c,29.34189,79.558171
Trachemys scripta,f,w,35.43014,-94.983963
Trematomus bernacchii,m,w,-77.5,165
Trematomus bernacchii,m,w,-77.88333333,166.6666667
Trematomus bernacchii,m,w,-77.88333333,166.8166667
Trematomus hansoni,m,w,-77.88333333,166.6666667
Trematomus newnesi,m,w,-77.88333333,166.6666667
Triturus dobrogicus,f,w,46.9,19.4
Urosaurus ornatus,t,w,33.3,-111.83333
Utterbackia imbecillis,f,w,35.85160472,-80.24074288
Vipera berus,t,w,56.15934328,9.288940481
Xenopus laevis,f,c,15,25
Zoarces americanus,m,w,47.65144,-52.695086
Zoarces viviparous,m,w,54.45,7.2
Zoarces viviparous,m,w,54.15,7.9
Zoarces viviparous,m,w,54.5,10.4
Zoarces viviparous,m,w,58.97239346,5.761454771